topic0,darub,off,hinaus,klar,stellt,fest,steht,stell,bleib,zunach,bleibt,zukunft,unklar,gestellt,bislang,wann,genau,vollig,liess,konkret,moglicherweis,aussicht,zeitpunkt,weiterhin,durft,entschied,wahrschein,auss,bevor,zweit,klarheit,dar,kommt,blieb,heisst,erwart,lang,detail,aussag,ledig,ausgeschloss,ungewiss,besteh,geklart,endgult,danach,diskutiert,dritt,gemacht,besteht,option,denkbar,genannt,uberhaupt,rechn,dau,leg,stand,wort,sag,lauf,zweifel,weich,lieg,vorerst,ebenfall,deshalb,innerhalb,eindeut,vorstell,gescheh,nenn,schliess,bisher,anfang,sowohl,spatest,fuhr,gesproch,reih,daran,zumind,angesicht,ausseh,wed,schliesst,gelt,sicht,letzt,diskussion,tur,eventuell,zustand,ausgang,gegeb,uberleg,unsich,hintergrund,einschatz,festleg
 ,0.035,0.031,0.021,0.019,0.017,0.016,0.015,0.014,0.013,0.013,0.012,0.011,0.009,0.009,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic90,milliarden_mark,haushalt,milliarden_euro,milliard,bund,eichel,ausgab,finanzminist,kurzung,etat,bundesregier,zusatz,einspar,einnahm,waigel,defizit,finanzier,bundeshaushalt,schuld,erhoh,spar,jahrlich,neuverschuld,sparpaket,geld,steuereinnahm,steinbruck,steuererhoh,finanzministerium,finanzpolit,abbau,bundesfinanzminister_hans_eichel,nächsten_jahr,mittel,vorgeseh,subvention,investition,minist,kommenden_jahr,steuerschatz,haushaltspolit,millionen_mark,sparkur,finanzi,steu,gekurzt,gemeind,finanzplan,finanz,bundesfinanzministerium,finanzminister_hans_eichel,beschloss,entlast,finanziert,angesicht,betrag,steuersenk,zuschuss,koalition,mittelfrist,einschnitt,verschuld,kost,haushaltsausschuss,loch,sparmassnahm,ministerium,bundesfinanzminist,finanziell,knapp,allein,spielraum,kabinett,opposition,laufend,bundesfinanzminister_theo_waigel,senkung,eingeplant,haushaltsentwurf,ausgeg,subventionsabbau,mehreinnahm,umfang,senk,kurz,last,summ,veranschlagt,erhoht,nachtragshaushalt,haushaltsloch,luck,csu,steuerreform,steuerausfall,kass,uberschuss,ausfall,hans_eichel,drastisch
 ,0.039,0.029,0.027,0.026,0.026,0.021,0.017,0.013,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic91,bericht,berichtet,zufolg,bestatigt,hiess,zeitung,information,wonach,spekulation,angeb,kreis,woll,laut,dementiert,offenbar,gerucht,sprecherin,offiziell,bestat,beruf,stellungnahm,zitiert,genannt,zeitungsbericht,medienbericht,moglicherweis,plan,meldung,unterdess,anfrag,informiert,bekannt,gegeb,entsprech,wies,wochen,pressebericht,demnach,blatt,schrieb,wed,auss,quell,kommenti,zuruckgewies,medi,verlautet,wollt,erwagt,plant,stellung,darstell,dementi,kommentar,gesagt,ledig,erfuhr,vergangenen_woche,meldet,hinweis,heisst,financial_times_deutschland,bevorsteh,gemeldet,nehm,lehnt,detail,einzel,nachrichtenagentur,bezeichnet,veroffentlicht,intern,erwag,gesproch,getroff,mitgeteilt,regierungskreis,wahrschein,abgeb,geheiss,zunach,danach,süddeutschen_zeitung,unklar,agentur,pruft,spekuliert,press,mehrfach,geaussert,bestritt,widersprach,gefall,bislang,verwi,vergangenen_tagen,vermut,konkret,nah,vertraut
 ,0.089,0.056,0.042,0.035,0.033,0.032,0.027,0.019,0.018,0.018,0.018,0.017,0.015,0.015,0.014,0.012,0.012,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic92,telekom,mobil,mannesmann,vodafon,netz,kund,anbiet,umt,mobilfunk,mobilcom,wettbewerb,deutsche_telekom,lizenz,telekommunikation,handy,deutschen_telekom,plus,at,million,france_télécom,konkurrent,dusseldorf,telecom,angebot,festnetz,tocht,dien,telefoni,bt,anschluss,dsl,kpn,schnell,telefongesellschaft,internet,call,telefon,servic,regulierungsbehord,tarif,orang,mobilfunkanbiet,arcor,wireless,nutz,netzbetreib,debitel,freenet,monopolist,preis,betreib,konkurrenz,ron_sommer,rick,france_telecom,lucent,technik,sprint,millionen_kunden,bonn,mobilfunknetz,british_telecom,zugang,minut,bell,tel,communication,handys,aufbau,mci,telekommunikationsmarkt,mobilfunkbetreib,telefónica,swisscom,obermann,gent,gesellschaft,start,biet,com,voicestream,one,verbind,geschaft,viag_interkom,versteiger,reguli,leitung,infrastruktur,gsm,breitband,otelo,dritt,kabel,mobilfunktocht,auktion,deutsche_telekom_ag,konz,kurth,mobilfunkmarkt
 ,0.067,0.017,0.017,0.016,0.015,0.015,0.014,0.013,0.013,0.012,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic93,treff,berat,konferenz,gipfel,vertret,teilnehm,gemeinsam,thema,minist,regierungschef,sitzung,beginn,them,gipfeltreff,tagung,zweitag,teilnahm,konkret,delegation,tagesordn,ergebnis,vorbereit,erklar,stattfind,rand,abschluss,zusamm,mittelpunkt,vorsitz,sprach,fortschritt,wollt,eingelad,arbeitsgrupp,kolleg,dialog,neb,diskutiert,vorausmeld,vereinbart,diskuti,beschluss,auftakt,erortert,diskussion,zusammengekomm,sieb,informell,initiativ,vorfeld,gesproch,abend,zusammenkomm,erort,ausserd,forum,kreis,nehm,verlautet,umstritt,beschloss,befass,verstandigt,einberuf,durchbruch,eroffnet,uberblick,heiligendamm,vorschlag,pressekonferenz,gastgeb,darub,sollt,tisch,gehor,fern,differenz,amtskolleg,bekraftigt,eroffn,strittig,dreitag,erwart,begegn,wochen,delegiert,bundeskanzler_gerhard_schröder,getroff,ubereinstimm,geeinigt,leitung,annaher,betont,verstand,verabschiedet,einigt,zusammenkunft,off,vorbereitet,atmosphar
 ,0.084,0.047,0.043,0.034,0.026,0.024,0.02,0.018,0.015,0.015,0.013,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic94,agypt,arab,israel,syri,libanon,kairo,libanes,hisbollah,saudi,arabi,syrisch,nahost,beirut,jordani,nahen_osten,aussenminist,region,damaskus,fried,mubarak,jordan,saudisch,assad,sudlibanon,friedensprozess,amman,riad,amerikan,dubai,unterstutz,scheich,islam,konflikt,hauptstadt,washington,kuwait,pro,hariri,fuhr,katar,emirat,diplomat,ruckzug,treff,botschaft,golan,fuhrung,grenz,samstag,mussa,golf,jem,krieg,arabischen_staaten,liga,könig_hussein,staatschef,arabischen_liga,abdullah,offiziell,iran,syr,bemuh,hussein,reis,nachbarn,sech,el_assad,arabischen_welt,golfstaat,bahrain,nachrichtenagentur,amr,nah,husni_mubarak,bezieh,direkt,hafis,schiitisch,friedensgesprach,konigreich,ministerprasident,umfass,aussenministerium,westlich,kronprinz,verbundet,prinz,abu_dhabi,jung,aden,oman,zuvor,tunesi,beobacht,baschar,präsident_husni_mubarak,rafik,nachbarland,unterstutzt
 ,0.037,0.032,0.031,0.03,0.029,0.023,0.019,0.018,0.017,0.015,0.015,0.014,0.014,0.013,0.013,0.011,0.011,0.011,0.009,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic95,verhandl,streit,seit,losung,gescheitert,konflikt,scheit,forder,angebot,verhandeln,position,treff,erneut,beding,beweg,zugestandnis,versuch,lehnt,verhandelt,abgelehnt,verlangt,bereitschaft,signalisiert,wollt,vertret,vermittl,akzepti,punkt,offenbar,haltung,auseinandersetz,zunach,beginn,droht,bekraftigt,hart,such,hiess,fortgesetzt,verzicht,tisch,fortsetz,vereinbar,front,find,beend,umstritt,ring,wochen,endgult,beendet,chanc,beigelegt,gefund,gefordert,sollt,bemuh,akzeptiert,ltte,tamil,strittig,gemacht,beteiligt,off,einvernehm,abgebroch,zusag,letzt,beharrt,einlenk,differenz,sri_lanka,entgegenkomm,verstand,zeichnet,aufgenomm,unterdess,verhandlungsrund,konstruktiv,woll,kali,colombo,gefuhrt,zuvor,versucht,monatelang,sicht,kompromissbereitschaft,bemuht,verlang,scheitert,verhandlungst,gegenseit,streitpunkt,abbruch,ergebnislos,blockiert,geeinigt,fuhr,vorerst
 ,0.078,0.042,0.027,0.026,0.016,0.015,0.014,0.012,0.011,0.011,0.009,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic96,steu,steuerreform,besteuer,entlast,einkomm,gewinn,steuersatz,senkung,einkommensteu,finanzamt,mehrwertsteu,belast,steuerfrei,finanzminist,erhoh,fiskus,abschaff,steuerpolit,abgab,burg,gewerbesteu,steuerzahl,steuerrecht,einkunft,vermog,steuerpflicht,niedrig,freibetrag,steuersenk,koalition,bundesfinanzministerium,vermogensteu,einfuhr,kapitalgesellschaft,besteuert,erbschaftsteu,senk,korperschaftsteu,solidaritatszuschlag,einnahm,kindergeld,eichel,satz,gesenkt,steuererhoh,finanzpolit,umsatzsteu,finanzministerium,spitzensteuersatz,belastet,geltend,entlastet,reform,erhoht,stuf,unternehmensteuerreform,erheb,kirchhof,waigel,januar,pauschal,steuerlast,gewerb,betrieb,bundesregier,einheit,privat,anheb,erhöhung_der_mehrwertsteuer,eingefuhrt,abgeschafft,existenzminimum,arbeitnehm,steuervergunst,gegenfinanzier,zusatz,wegfall,mittl,steuerbelast,steuerausfall,finanzier,steuerplan,erhob,verausserungsgewinn,mittelstand,bemessungsgrundlag,steuervorteil,jahressteuergesetz,ledig,modell,steuersyst,versteuert,zuschlag,bleib,steuerentlast,bfh,voll,bundesfinanzhof,steuererklar,vergunst
 ,0.058,0.017,0.01,0.01,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic97,hotel,tourist,tui,reis,million,tourismus,lloyd,gast,preussag,veranstalt,angebot,reiseveranstalt,hapag,thomas_cook,haus,reiseburos,grupp,branch,ubernacht,gehor,restaurant,geschaft,ausland,club,buchung,reiseburo,mallorca,lieg,kund,europas,reisend,besond,ziel,neb,preis,stern,travel,gebucht,vergangenen_jahr,beliebt,hannov,trotz,condor,geschaftsfuhr,gehort,sech,bleib,tour,knapp,frankfurt,septemb,first,last,urlaub,kett,platz,oktob,buch,anbiet,heisst,feri,acht,inzwisch,sieb,laut,reisekonz,gastronomi,ltu,itb,drv,michael_frenzel,reisebranch,bislang,kam,accor,setzt,minut,zud,pauschalreis,pichl,hilton,gaststatt,plus,neckermann,zahlt,geschaftsreis,its,erstmal,rechnet,neun,ebenfall,allein,hotelkett,billig,biet,tocht,tourismusbranch,liegt,bess,hoteli
 ,0.034,0.024,0.023,0.023,0.016,0.014,0.014,0.011,0.011,0.009,0.009,0.008,0.007,0.006,0.006,0.006,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic98,liess,gegn,kaum,wohl,offent,kampf,alt,versucht,ton,scheint,eher,schliesslich,machtig,mann,kritik,hart,off,sogar,auftritt,einst,ausgerechnet,gar,wort,tief,diesmal,schien,red,blieb,recht,eigent,freund,verkundet,sieg,stet,hand,buhn,stimmung,letzt,nie,zeigt,sah,niederlag,plotzlich,kur,lang,wirkt,gleich,lautet,sach,verlor,lasst,gerad,gesicht,arg,einstig,gern,geschickt,durft,schwer,kuliss,vorgang,fuhlt,wind,lieb,steht,genoss,treu,attack,medi,korrespondent,prasentiert,uberrasch,imag,immerhin,stand,nutzt,schwach,rhetor,sucht,mal,ging,taktik,kampft,mag,verhaltnis,front,bracht,sympathi,strategi,selbstbewusst,sitzt,ohnehin,hielt,oft,verli,schlag,gelass,beifall,zumind,stimm
 ,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic99,israel,palastinens,jerusal,arafat,hamas,gaza,nahost,israelis,westjordanland,scharon,gazastreif,plo,tel_aviv,friedensprozess,judisch,netanjahu,siedlung,gebiet,barak,ramallah,abbas,arab,fried,rabin,streif,nahen_osten,per,radikal,hebron,palastinensergebiet,fatah,besetzt,gewalt,abzug,autonomiebehord,jassir_arafat,palästinenserpräsident_jassir_arafat,likud,organisation,treff,israelische_armee,jerusalem,israelische_soldaten,fuhr,waffenruh,verhandl,ruckzug,beweg,besetzten_gebieten,seit,islam,ariel_scharon,olmert,israelische_regierung,benjamin_netanjahu,jericho,arbeitspartei,extremist,haaretz,militant,abkomm,bethleh,ross,premi,stadt,agypt,mitglied,beginn,levy,abu,israelische_rundfunk,autonomi,israelischen_soldaten,verteidigungsminist,unterdess,palastinenserfuhr,nablus,intifada,palästinensischen_angaben,jud,israelischen_armee,palastina,ehud_barak,arme,schimon_peres,dschenin,autonomiegebiet,fluchtlingslag,knesset,schamir,außenminister_schimon_peres,palastinenserprasident,terror,friedensplan,israelischen_ministerpräsidenten,dschihad,netanjahus,weizman,quartett,autonom
 ,0.12,0.081,0.021,0.021,0.015,0.014,0.013,0.012,0.011,0.011,0.009,0.009,0.009,0.009,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic100,prot,polizei,demonstrant,demonstration,mensch,aktion,tausend,demonstriert,samstag,strass,kundgeb,stadt,protestiert,hundert,anhang,teilnehm,polizist,friedlich,kam,aufgeruf,veranstalt,zahlreich,protesti,demonstri,unruh,versammelt,gekomm,festgenomm,zehntaus,ausschreit,abend,nahm,hauptstadt,auseinandersetz,wollt,blockiert,verletzt,ging,gegn,zusammenstoss,blockad,beamt,protestaktion,stein,aufruf,innenstadt,marsch,gewalttat,besetzt,zog,sicherheitskraft,student,warf,gewaltsam,verbot,zwischenfall,transparent,massiv,verhind,rief,anti,versucht,setzt,erneut,einsatz,nachmittag,dutzend,grupp,besetz,widerstand,begleitet,platz,wochen,bild,motto,festnahm,generalstreik,aktivist,morg,organisator,beteiligt,gewalt,nacht,unterdess,plakat,tranengas,richtet,organisiert,landesweit,zuvor,meng,hunderttaus,angekundigt,vorubergeh,begonn,blieb,sprach,opposition,gebaud,verlief
 ,0.039,0.029,0.026,0.026,0.022,0.017,0.015,0.014,0.013,0.012,0.012,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic101,internet,onlin,angebot,nutz,kund,anbiet,dien,aol,netz,googl,million,web,inhalt,servic,commerc,yahoo,musik,cd,virtuell,seit,zugang,geschaft,elektron,weltweit,plattform,bietet,ebay,portal,werbung,information,dienstleist,digital,mail,kostenlos,start,music,multimedia,verkauf,schnell,amazon,adress,biet,bmg,emi,europ,business,firm,napst,surf,firma,direkt,medi,bestell,comput,via,group,marktplatz,produkt,gutersloh,nam,suchmaschin,internetseit,buch,cds,websit,homepag,nutzung,marketing,such,bislang,sony,kauf,cent,provid,neb,einkauf,handel,verkauft,betreib,verbreit,urheberrecht,universal,time_warner,lycos,konkurrenz,genannt,startet,klassisch,media,partn,webseit,branch,verfug,geschaftsmodell,softwar,handl,vertrieb,pixelpark,aktuell,new_economy
 ,0.09,0.044,0.019,0.016,0.014,0.013,0.012,0.01,0.009,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
topic102,handel,wto,verhandl,export,eu,zoll,genf,amerikan,import,gatt,offnung,einfuhr,abkomm,liberalisier,welthandelsorganisation,abbau,ausfuhr,freien,produkt,subvention,schutz,abschluss,interess,welthandel,offn,fortschritt,bilateral,washington,zugang,regeln,landwirtschaft,mitglied,allgemein,handelspartn,streit,entwicklungsland,rahm,aussenhandel,freihandelszon,banan,europäischen_union,strafzoll,bereich,handelspolit,sanktion,europäische_union,handelsminist,kanada,sogenannt,vereinbar,dienstleist,doha,erheb,erzielt,handelsabkomm,generaldirektor,erfolg,quot,exporteur,welthandelsorganisation_wto,uruguay,innerhalb,seattl,bedeut,protektionismus,bring,sollt,besteh,handelsbeauftragt,zud,vereinigten_staaten,ford,heimisch,billig,weltmarkt,beschrank,bestimmt,scheit,erfolgreich,mandelson,kompromiss,freihandel,zugestandnis,welthandelsrund,protektionist,gleichzeit,genannt,transatlant,multilateral,marktoffn,dumping,off,jahrlich,handelskommissar,marktzugang,exportiert,lamy,minist,importeur,fair
 ,0.029,0.029,0.014,0.014,0.014,0.012,0.012,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic103,gewerkschaft,ig_metall,arbeitgeb,dgb,metall,arbeitnehm,betrieb,stund,beschaftigt,tarifvertrag,ig,arbeitszeit,mindestlohn,lohn,arbeitsplatz,arbeit,vorsitz,betriebsrat,tarif,arbeitgeberverband,bündnis_für_arbeit,tarifpolit,branch,gesamtmetall,forder,zwickel,mitbestimm,tarifrund,uberstund,vereinbar,tarifpartei,chemi,elektroindustri,hundt,vereinbart,abschluss,lohnfortzahl,metallindustri,flexibl,bundnis,altersteilzeit,flachentarifvertrag,regel,beschaft,bda,tarifabschluss,arbeitszeitverkurz,tarifpartn,stumpf,tarifautonomi,klaus_zwickel,lohnerhoh,kef,bezirksleit,deutsche_gewerkschaftsbund,lohnausgleich,mehrarbeit,frankfurt,deutschen_gewerkschaftsbundes,jürgen_peters,viz,voll,schmoldt,murmann,dieter_schulte,einfuhr,verband,entsendegesetz,mitglied,tarifverhandl,wochenarbeitszeit,kundigungsschutz,ig_bce,flexibilisier,vorstand,gewerkschaftsbund,dusseldorf,lang,belegschaft,ig_bau,verzicht,michael_sommer,ngg,flachentarif,ig_chemie,industriegewerkschaft,bezirk,betriebsverfassungsgesetz,gewerkschaftstag,westdeutsch,flexibilitat,sozial,steinkuhl,gefordert,modell,deutschen_arbeitgeberverbände,energi,hubertus_schmoldt,arbeitsbeding,offnungsklauseln
 ,0.058,0.034,0.031,0.026,0.024,0.022,0.021,0.015,0.015,0.014,0.013,0.012,0.012,0.011,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
